"alturas" "pesos"
"1" 175.383208903091 71.6470617153789
"2" 165.353025101204 71.8685965185958
"3" 178.902971314415 77.7355066702028
"4" 173.132481364703 74.3097194119549
"5" 175.504212208952 75.6984420734232
"6" 177.465983426702 79.6787664136357
"7" 170.732279983535 68.3769168789325
"8" 171.175206940129 72.3142664135673
"9" 170.196371851544 65.9652507458454
"10" 173.60123683546 76.9023642652215
"11" 176.835731203449 78.8183972953886
"12" 171.710649815135 74.3367646722176
"13" 170.764164551945 63.5394887468323
"14" 171.502012491627 66.6184281967102
"15" 176.840928549535 76.7335541342876
"16" 167.587296133814 67.5181727017055
"17" 172.004602527287 71.2585352276387
"18" 175.267158085926 79.7037629715811
"19" 172.399316267045 73.2153130481178
"20" 174.295569121482 73.1163419708613
"21" 179.521135135053 81.5742571227275
"22" 172.51030633496 74.8112129505195
"23" 173.055038079294 74.6762216404133
"24" 178.398489428132 79.8034161427046
"25" 176.712124750876 75.7234517050447
"26" 175.930837816128 80.118270551103
"27" 173.649606964026 71.0215449325605
"28" 178.513795184535 78.5078845115165
"29" 172.607116508122 70.8971298855697
"30" 171.797459834389 72.4024424128637
"31" 173.385426712531 73.0739157285773
"32" 177.340818147275 81.2483044838102
"33" 176.13982363256 71.710405536481
"34" 177.661740231485 80.1216424421537
"35" 174.374858061482 75.2621033017094
"36" 168.973529281485 70.9255290456654
"37" 174.420658487217 77.0487798451605
"38" 174.616956726782 72.7784690269338
"39" 174.20229891497 68.6102370141741
"40" 174.51049857666 73.463208122951
"41" 171.035651120286 71.3179763713562
"42" 170.789367042395 69.0926951825006
"43" 168.372753795454 69.584195140588
"44" 173.905692256787 75.3335704765594
"45" 173.174615493406 67.7703299855551
"46" 170.194135452358 73.6130336537405
"47" 172.24919990112 69.5707098247207
"48" 173.156900828942 71.5027473704384
"49" 171.885966744894 70.4945306080579
"50" 172.377948440943 69.7827141268391
"51" 173.546055107501 76.9487231531181
"52" 172.375877546323 70.7477756796287
"53" 175.407290527852 72.8599590033655
"54" 174.042206080354 72.7829955232678
"55" 170.738784391812 69.6107620863398
"56" 171.94022983613 75.5837807704127
