94 75 52 70 54
84 85 66 85 74
79 71 68 72 82
82 70 78 77 78
52 68 72 75 76
78 81 83 77 70
75 66 68 70 94
72 87 84 72 64
92 73 77 64 68
70 66 86 82 75
82 76 83 70 87
66 62 74 79 73
83 95 85 86 64
69 67 87 75 80
65 70 69 79 71
91 72 63 69 88
75 85 80 65 70
62 76 83 74 73
76 63 76 71 75
81 81 64 70 78
58 89 63 73 80
66 92 72 79 77
71 84 82 83 60
82 79 73 74 68
85 78 65 72 87
82 82 75 69 66
72 73 89 74 77
69 90 61 87 102
70 72 71 69 68
63 69 74 64 81
59 68 76 73 67
76 76 93 71 77
79 78 79 79 83
78 69 76 73 77
87 76 63 85 74
64 73 81 69 81
72 72 89 86 84
70 71 77 81 64
76 87 64 67 76
58 68 90 85 72
74 68 80 53 72
56 85 91 74 67
76 82 66 70 61
74 77 98 62 71
65 71 79 70 89
79 60 69 78 73
71 77 68 65 67
89 72 79 71 68
74 68 73 72 69
66 88 75 61 52
77 89 66 68 71
62 75 60 87 70
71 68 88 77 72
76 79 77 70 80
74 69 69 88 79
79 62 84 84 68
77 63 66 80 69
87 73 87 81 86
69 85 73 78 76
78 82 65 72 56
71 82 85 69 78
64 67 80 76 70
68 85 85 67 86
86 87 85 84 60
62 69 66 75 71
67 71 76 82 69
81 83 61 57 68
63 85 77 58 80
73 78 76 78 76
75 77 75 89 78
78 69 71 76 86
76 90 62 82 90
71 92 67 86 80
60 75 82 76 61
93 65 77 76 65
91 82 62 79 84
77 85 75 72 66
70 85 87 77 83
72 70 72 69 86
77 67 72 67 83
77 82 71 67 68
72 79 67 71 62
86 81 88 71 77
74 69 59 71 69
87 67 81 74 83
78 88 77 76 84
93 68 71 64 67
78 61 86 82 70
78 80 78 71 83
70 80 74 61 72
63 82 85 64 70
94 72 71 77 75
84 70 72 76 77
74 91 77 68 89
80 86 64 89 66
58 56 74 92 67
85 81 87 68 58
58 76 77 89 60
74 76 64 80 87
67 80 71 62 68
75 82 82 78 84
89 69 79 74 76
67 74 77 76 88
63 80 63 82 83
81 75 88 82 92
78 74 70 83 76
79 72 86 77 68
89 69 74 76 84
74 74 74 75 81
72 79 87 71 67
88 71 70 80 75
70 80 65 63 66
79 103 95 69 69
78 71 79 69 70
74 69 79 87 86
79 70 85 65 63
89 84 79 68 82
76 80 78 56 63
75 91 84 80 82
82 73 63 69 74
83 82 79 79 51
83 71 80 86 73
74 63 77 89 80
83 65 75 74 75
74 76 77 64 63
78 102 84 67 57
58 88 80 69 77
79 93 77 67 82
78 64 66 83 82
80 73 78 76 75
77 81 77 92 65
80 76 77 80 76
80 88 73 85 81
80 77 72 66 78
96 60 64 72 85
66 80 84 86 69
95 82 80 67 79
65 79 63 73 78
69 81 87 79 97
72 65 83 84 74
76 66 61 76 73
61 84 91 77 69
81 80 73 83 76
73 69 86 70 75
82 77 78 78 51
75 64 75 74 84
86 65 74 87 64
82 65 85 74 75
86 90 73 79 81
59 74 82 66 73
92 68 76 76 82
69 73 76 70 81
66 78 71 78 76
85 84 78 71 69
73 76 81 75 64
77 85 60 78 76
67 81 74 79 80
74 66 70 72 68
79 74 86 83 70
82 57 76 73 68
81 81 57 85 85
94 94 72 74 70
70 75 76 82 71
69 83 83 72 76
65 81 82 64 94
69 81 77 89 79
78 73 70 77 59
71 61 73 76 60
73 78 68 94 73
76 59 73 81 71
72 84 58 84 72
83 92 66 74 71
75 84 78 91 62
75 76 75 64 72
76 74 77 77 60
82 88 77 80 90
71 85 74 78 65
58 69 71 71 78
80 62 80 78 73
77 79 85 86 76
90 70 69 69 82
72 77 83 71 61
68 84 80 78 79
80 86 70 76 73
66 84 94 72 80
89 67 69 94 56
75 67 71 79 69
72 74 83 85 66
76 79 84 90 80
74 78 81 79 80
71 70 80 72 74
69 58 77 80 60
87 67 77 79 67
64 53 93 89 59
62 78 70 82 66
67 79 90 74 90
74 61 75 74 72
65 76 75 78 66
60 89 69 73 65
87 75 71 84 63
55 88 79 100 65
58 92 69 87 90
73 64 72 68 63
81 81 84 72 74
61 80 70 69 83
69 70 76 78 90
89 92 78 70 62
74 76 88 75 73
75 67 73 82 70
72 70 63 64 68
77 75 81 88 79
70 74 73 71 74
73 73 63 82 79
68 105 69 83 82
84 72 80 73 78
84 70 64 73 61
73 82 87 85 79
69 73 77 73 70
63 70 88 76 68
82 80 59 61 58
83 90 91 70 82
83 69 79 78 72
78 69 88 75 68
72 70 78 82 73
57 73 86 72 73
76 77 81 69 71
67 72 67 76 76
79 79 82 85 90
78 89 66 70 79
72 84 84 78 66
84 88 77 81 94
67 84 68 65 80
75 89 77 71 59
74 60 73 79 62
74 88 72 79 89
87 84 62 73 90
82 71 77 77 55
88 74 69 79 79
65 81 74 79 73
74 75 73 54 73
69 77 62 69 77
65 60 88 76 83
61 73 76 71 73
65 73 87 76 74
82 63 60 77 91
60 68 69 72 63
79 82 66 68 83
73 72 77 79 74
64 90 58 86 57
86 66 62 77 79
88 77 70 75 94
67 61 76 75 72
83 65 105 66 75
77 73 82 71 79
59 81 90 66 74
86 66 80 73 76
67 82 66 73 78
66 59 84 75 75
93 66 72 60 79
83 71 81 65 69
55 74 67 90 90
61 69 71 68 80
77 83 62 64 62
72 79 82 64 76
78 91 81 68 66
71 65 84 80 63
76 71 79 78 72
93 67 77 81 78
66 85 72 87 79
98 68 66 80 78
92 74 74 77 86
81 64 69 66 80
86 91 76 82 74
74 69 90 86 80
74 80 72 75 89
61 88 73 89 78
82 64 74 76 66
71 65 76 67 65
59 81 59 86 61
75 69 68 77 67
80 80 79 69 82
68 75 62 79 80
68 83 76 72 73
68 81 76 75 89
69 73 73 66 75
84 83 92 84 82
63 74 71 77 80
83 83 64 66 67
62 70 61 79 77
81 73 71 74 79
85 61 72 74 71
80 79 77 79 71
76 84 76 59 72
66 78 69 79 69
81 77 81 65 71
85 70 78 85 77
83 95 63 77 74
70 83 78 66 88
73 96 70 73 67
78 68 94 78 86
61 76 79 74 73
72 66 67 51 60
87 59 70 76 90
76 94 58 72 65
76 70 70 69 73
71 64 74 88 85
82 90 86 72 78
89 79 71 84 69
70 81 73 86 67
79 67 69 70 55
81 72 71 75 57
84 66 71 73 85
79 63 89 76 82
71 71 78 87 84
78 72 75 79 86
72 59 76 80 74
72 89 81 80 92
74 58 84 80 78
88 63 72 70 75
75 82 85 54 76
82 69 72 74 83
71 67 70 81 81
80 76 80 84 71
66 64 75 67 77
71 69 67 69 97
81 75 66 72 69
46 63 82 54 65
65 70 69 70 79
76 69 76 63 79
79 73 78 70 81
83 82 73 89 69
73 88 67 85 60
72 54 71 73 73
70 80 69 73 79
72 90 73 75 73
66 91 77 85 83
93 78 66 68 84
61 85 76 75 76
73 74 74 81 77
84 84 86 80 65
81 73 82 72 70
84 83 81 74 78
74 76 78 62 64
59 71 77 80 93
77 78 72 81 84
65 86 65 65 82
73 65 75 71 66
78 86 81 73 74
81 76 71 71 70
72 75 67 70 85
49 95 63 95 75
67 76 68 81 89
70 71 59 88 72
79 66 82 81 78
80 84 84 70 72
89 85 71 75 70
69 81 73 94 79
68 64 76 68 82
84 97 89 59 96
76 76 66 63 87
78 83 79 61 74
82 73 71 63 75
78 69 73 91 66
71 82 81 80 70
59 69 73 91 61
73 71 83 74 80
59 65 68 70 86
80 76 79 82 82
74 69 65 76 87
85 80 60 73 80
74 67 82 97 79
64 86 72 68 73
76 75 65 93 62
71 81 78 77 93
75 89 77 87 72
76 72 74 76 88
62 83 76 67 75
73 77 64 70 61
89 72 90 81 92
74 75 76 81 78
96 79 70 68 78
76 78 67 96 78
80 65 77 86 77
77 70 61 77 81
76 75 60 78 78
74 89 82 79 73
70 86 63 59 71
58 81 71 86 68
92 83 84 73 67
68 75 85 87 82
88 85 81 81 91
87 70 76 75 76
77 86 86 74 64
81 67 70 84 77
83 75 72 77 84
66 79 81 78 73
64 63 69 79 78
88 85 74 85 87
71 87 62 72 82
76 81 69 59 93
56 91 72 86 72
85 69 77 91 78
81 62 78 64 89
87 94 71 82 80
55 72 69 77 81
101 75 64 72 84
79 81 76 69 72
74 69 80 78 83
67 73 76 82 70
75 97 75 78 72
72 73 72 66 70
83 82 80 86 87
84 83 78 73 80
71 86 69 82 71
78 76 94 70 66
66 68 74 80 80
69 62 58 64 69
73 71 83 76 59
69 70 74 92 89
86 64 94 79 57
78 83 101 88 68
73 65 70 77 69
80 61 76 70 74
76 84 70 77 84
72 80 84 85 85
91 80 69 68 78
69 72 71 80 86
70 71 69 86 84
83 79 84 78 64
63 72 89 75 90
65 79 74 76 89
81 79 75 77 77
65 96 71 70 71
84 91 69 70 80
75 82 80 86 79
76 66 83 75 70
75 92 74 68 84
75 81 83 62 74
